Operation,Total Time,Average Time,Run Count
extensible.SVG(),00m 03s,00m 03s,1
extensible.SVG.doInit(),00m 00s,00m 00s,2
extensible.SVG.doNextTimeline(),00m 01s,00m 00s,2
extensible.SVG._getTimeline(),00m 02s,00m 00s,8
extensible.SVG.hasTweensInRange(),00m 01s,00m 00s,7
extensible.SVG._getTimeline() >> Check break apart tweens,00m 00s,00m 00s,2
extensible.SVG._getTimeline() >> Get frame items,00m 00s,00m 00s,11
extensible.SVG._getTimeline() >> Collate frames,00m 00s,00m 00s,6
extensible.SVG._getTimeline() >> Get keyframes,00m 00s,00m 00s,6
extensible.SVG._getSymbolInstance(),00m 01s,00m 00s,7
extensible.SVG._getShape(),00m 01s,00m 00s,12
extensible.SVG.checkExpand(),00m 00s,00m 00s,46
extensible.SVG.executeExpandUse(),00m 00s,00m 00s,22
extensible.SVG.simplifyFrame(),00m 00s,00m 00s,11
extensible.SVG.processFinaliseDocuments(),00m 00s,00m 00s,2
extensible.SVG._applyColorEffects(),00m 00s,00m 00s,22
extensible.SVG.processFixUseLinks(),00m 00s,00m 00s,2
extensible.SVG.processCompactColours(),00m 00s,00m 00s,2
extensible.SVG.processRemoveZeros(),00m 00s,00m 00s,2
extensible.SVG.processSimplifyOnes(),00m 00s,00m 00s,2
extensible.SVG.processRemoveIdentMatrices(),00m 00s,00m 00s,2
extensible.SVG.processSimplifyMatrices(),00m 00s,00m 00s,2
extensible.SVG.processConvertHairlineStrokes(),00m 00s,00m 00s,2
